Year,Category,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth Country,Sex,Organization Country,Disease,Diagnostic
1901,Chemistry,1/1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Netherlands,Male,Germany,no,
1901,Medicine,1/1,293,Individual,Emil Adolf von Behring,1854-03-15,Prussia (Poland),Male,Germany,no,
1901,Physics,1/1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Prussia (Germany),Male,Germany,no,
1902,Chemistry,1/1,161,Individual,Hermann Emil Fischer,1852-10-09,Prussia (Germany),Male,Germany,no,
1902,Medicine,1/1,294,Individual,Ronald Ross,1857-05-13,India,Male,United Kingdom,no,
1902,Physics,1/2,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Netherlands,Male,Netherlands,no,
1902,Physics,1/2,3,Individual,Pieter Zeeman,1865-05-25,Netherlands,Male,Netherlands,no,
1903,Chemistry,1/1,162,Individual,Svante August Arrhenius,1859-02-19,Sweden,Male,Sweden,no,
1903,Medicine,1/1,295,Individual,Niels Ryberg Finsen,1860-12-15,Faroe Islands (Denmark),Male,Denmark,no,
1903,Physics,1/2,4,Individual,Antoine Henri Becquerel,1852-12-15,France,Male,France,no,
1903,Physics,1/4,5,Individual,Pierre Curie,1859-05-15,France,Male,France,yes,psychics
1903,Physics,1/4,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Russian Empire (Poland),Female,,yes,psychics
1904,Chemistry,1/1,163,Individual,Sir William Ramsay,1852-10-02,Scotland,Male,United Kingdom,no,
1904,Medicine,1/1,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Russia,Male,Russia,no,
1904,Physics,1/1,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,United Kingdom,Male,United Kingdom,yes,"Paranormal, ghosts"
1905,Chemistry,1/1,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Prussia (Germany),Male,Germany,no,
1905,Medicine,1/1,297,Individual,Robert Koch,1843-12-11,Germany,Male,Germany,no,
1905,Physics,1/1,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Hungary (Slovakia),Male,Germany,yes,Nazi racialism
1906,Chemistry,1/1,165,Individual,Henri Moissan,1852-09-28,France,Male,France,no,
1906,Medicine,1/2,298,Individual,Camillo Golgi,1843-07-07,Italy,Male,Italy,no,
1906,Medicine,1/2,299,Individual,Santiago Ramón y Cajal,1852-05-01,Spain,Male,Spain,no,
1906,Physics,1/1,10,Individual,Joseph John Thomson,1856-12-18,United Kingdom,Male,United Kingdom,yes,"Psychic, dowsing and paranormal"
1907,Chemistry,1/1,166,Individual,Eduard Buchner,1860-05-20,Bavaria (Germany),Male,Germany,no,
1907,Medicine,1/1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,France,Male,France,no,
1907,Physics,1/1,11,Individual,Albert Abraham Michelson,1852-12-19,Prussia (Poland),Male,United States of America,no,
1908,Chemistry,1/1,167,Individual,Ernest Rutherford,1871-08-30,New Zealand,Male,United Kingdom,no,
1908,Medicine,1/2,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Russian Empire (Ukraine),Male,France,no,
1908,Medicine,1/2,302,Individual,Paul Ehrlich,1854-03-14,Prussia (Poland),Male,Germany,no,
1908,Medicine,1/2,302,Individual,Paul Ehrlich,1854-03-14,Prussia (Poland),Male,Germany,no,
1908,Physics,1/1,12,Individual,Gabriel Lippmann,1845-08-16,Luxembourg,Male,France,no,
1909,Chemistry,1/1,168,Individual,Wilhelm Ostwald,1853-09-02,Russian Empire (Latvia),Male,Germany,no,
1909,Medicine,1/1,303,Individual,Emil Theodor Kocher,1841-08-25,Switzerland,Male,Switzerland,no,
1909,Physics,1/2,13,Individual,Guglielmo Marconi,1874-04-25,Italy,Male,United Kingdom,no,
